city,grid_id,built_area_total_m2,number_of_buildings,mean_building_size
Vancouver,4031_45486,0.0,0.0,0.0
Vancouver,4031_45485,0.0,0.0,0.0
Vancouver,4031_45484,0.0,0.0,0.0
Vancouver,4031_45483,0.0,0.0,0.0
Vancouver,4031_45482,0.0,0.0,0.0
Vancouver,4031_45481,0.0,0.0,0.0
Vancouver,4032_45490,0.0,0.0,0.0
Vancouver,4032_45489,0.0,0.0,0.0
Vancouver,4032_45488,0.0,0.0,0.0
Vancouver,4032_45487,0.0,0.0,0.0
Vancouver,4032_45486,0.0,0.0,0.0
Vancouver,4032_45485,0.0,0.0,0.0
Vancouver,4032_45484,0.0,0.0,0.0
Vancouver,4032_45483,0.0,0.0,0.0
Vancouver,4032_45482,0.0,0.0,0.0
Vancouver,4032_45481,0.0,0.0,0.0
Vancouver,4032_45480,0.0,0.0,0.0
Vancouver,4033_45490,0.0,0.0,0.0
Vancouver,4033_45489,0.0,0.0,0.0
Vancouver,4033_45488,0.0,0.0,0.0
Vancouver,4033_45487,0.0,0.0,0.0
Vancouver,4033_45486,0.0,0.0,0.0
Vancouver,4033_45485,0.0,0.0,0.0
Vancouver,4033_45484,0.0,0.0,0.0
Vancouver,4033_45483,0.0,0.0,0.0
Vancouver,4033_45482,0.0,0.0,0.0
Vancouver,4033_45481,0.0,0.0,0.0
Vancouver,4033_45480,0.0,0.0,0.0
Vancouver,4033_45479,0.0,0.0,0.0
Vancouver,4033_45449,0.0,0.0,0.0
Vancouver,4033_45448,0.0,0.0,0.0
Vancouver,4033_45447,0.0,0.0,0.0
Vancouver,4034_45489,0.0,0.0,0.0
Vancouver,4034_45488,0.0,0.0,0.0
Vancouver,4034_45487,0.0,0.0,0.0
Vancouver,4034_45486,0.0,0.0,0.0
Vancouver,4034_45485,0.0,0.0,0.0
Vancouver,4034_45484,0.0,0.0,0.0
Vancouver,4034_45483,0.0,0.0,0.0
Vancouver,4034_45482,0.0,0.0,0.0
Vancouver,4034_45481,0.0,0.0,0.0
Vancouver,4034_45480,0.0,0.0,0.0
Vancouver,4034_45479,0.0,0.0,0.0
Vancouver,4034_45478,0.0,0.0,0.0
Vancouver,4034_45477,0.0,0.0,0.0
Vancouver,4034_45448,0.0,0.0,0.0
Vancouver,4034_45447,0.0,0.0,0.0
Vancouver,4034_45446,0.0,0.0,0.0
Vancouver,4035_45489,0.0,0.0,0.0
Vancouver,4035_45488,0.0,0.0,0.0
Vancouver,4035_45487,0.0,0.0,0.0
Vancouver,4035_45486,0.0,0.0,0.0
Vancouver,4035_45485,0.0,0.0,0.0
Vancouver,4035_45484,0.0,0.0,0.0
Vancouver,4035_45483,0.0,0.0,0.0
Vancouver,4035_45482,0.0,0.0,0.0
Vancouver,4035_45481,0.0,0.0,0.0
Vancouver,4035_45480,0.0,0.0,0.0
Vancouver,4035_45479,0.0,0.0,0.0
Vancouver,4035_45478,0.0,0.0,0.0
Vancouver,4035_45477,0.0,0.0,0.0
Vancouver,4035_45448,0.0,0.0,0.0
Vancouver,4035_45447,0.0,0.0,0.0
Vancouver,4035_45446,0.0,0.0,0.0
Vancouver,4036_45489,0.0,0.0,0.0
Vancouver,4036_45488,0.0,0.0,0.0
Vancouver,4036_45487,0.0,0.0,0.0
Vancouver,4036_45486,0.0,0.0,0.0
Vancouver,4036_45485,0.0,0.0,0.0
Vancouver,4036_45484,0.0,0.0,0.0
Vancouver,4036_45483,0.0,0.0,0.0
Vancouver,4036_45482,0.0,0.0,0.0
Vancouver,4036_45481,0.0,0.0,0.0
Vancouver,4036_45480,0.0,0.0,0.0
Vancouver,4036_45479,0.0,0.0,0.0
Vancouver,4036_45478,0.0,0.0,0.0
Vancouver,4036_45477,0.0,0.0,0.0
Vancouver,4036_45472,0.0,0.0,0.0
Vancouver,4036_45471,0.0,0.0,0.0
Vancouver,4036_45470,0.0,0.0,0.0
Vancouver,4036_45469,0.0,0.0,0.0
Vancouver,4036_45447,0.0,0.0,0.0
Vancouver,4036_45446,0.0,0.0,0.0
Vancouver,4036_45445,0.0,0.0,0.0
Vancouver,4037_45489,0.0,0.0,0.0
Vancouver,4037_45488,0.0,0.0,0.0
Vancouver,4037_45487,0.0,0.0,0.0
Vancouver,4037_45486,0.0,0.0,0.0
Vancouver,4037_45485,0.0,0.0,0.0
Vancouver,4037_45484,0.0,0.0,0.0
Vancouver,4037_45483,0.0,0.0,0.0
Vancouver,4037_45482,0.0,0.0,0.0
Vancouver,4037_45481,0.0,0.0,0.0
Vancouver,4037_45480,0.0,0.0,0.0
Vancouver,4037_45479,0.0,0.0,0.0
Vancouver,4037_45478,0.0,0.0,0.0
Vancouver,4037_45477,0.0,0.0,0.0
Vancouver,4037_45476,0.0,0.0,0.0
Vancouver,4037_45475,0.0,0.0,0.0
Vancouver,4037_45474,0.0,0.0,0.0
Vancouver,4037_45473,0.0,0.0,0.0
Vancouver,4037_45472,0.0,0.0,0.0
Vancouver,4037_45471,0.0,0.0,0.0
Vancouver,4037_45470,0.0,0.0,0.0
Vancouver,4037_45469,0.0,0.0,0.0
Vancouver,4037_45447,0.0,0.0,0.0
Vancouver,4037_45446,0.0,0.0,0.0
Vancouver,4037_45445,0.0,0.0,0.0
Vancouver,4037_45444,0.0,0.0,0.0
Vancouver,4038_45488,0.0,0.0,0.0
Vancouver,4038_45487,0.0,0.0,0.0
Vancouver,4038_45486,0.0,0.0,0.0
Vancouver,4038_45485,0.0,0.0,0.0
Vancouver,4038_45484,0.0,0.0,0.0
Vancouver,4038_45483,0.0,0.0,0.0
Vancouver,4038_45482,0.0,0.0,0.0
Vancouver,4038_45481,0.0,0.0,0.0
Vancouver,4038_45480,0.0,0.0,0.0
Vancouver,4038_45479,0.0,0.0,0.0
Vancouver,4038_45478,0.0,0.0,0.0
Vancouver,4038_45477,0.0,0.0,0.0
Vancouver,4038_45476,0.0,0.0,0.0
Vancouver,4038_45475,0.0,0.0,0.0
Vancouver,4038_45474,0.0,0.0,0.0
Vancouver,4038_45473,0.0,0.0,0.0
Vancouver,4038_45472,0.0,0.0,0.0
Vancouver,4038_45471,0.0,0.0,0.0
Vancouver,4038_45470,0.0,0.0,0.0
Vancouver,4038_45469,0.0,0.0,0.0
Vancouver,4038_45446,0.0,0.0,0.0
Vancouver,4038_45445,0.0,0.0,0.0
Vancouver,4038_45444,0.0,0.0,0.0
Vancouver,4038_45443,0.0,0.0,0.0
Vancouver,4039_45487,0.0,0.0,0.0
Vancouver,4039_45486,0.0,0.0,0.0
Vancouver,4039_45485,0.0,0.0,0.0
Vancouver,4039_45484,0.0,0.0,0.0
Vancouver,4039_45483,0.0,0.0,0.0
Vancouver,4039_45482,0.0,0.0,0.0
Vancouver,4039_45481,0.0,0.0,0.0
Vancouver,4039_45480,0.0,0.0,0.0
Vancouver,4039_45479,0.0,0.0,0.0
Vancouver,4039_45478,0.0,0.0,0.0
Vancouver,4039_45477,0.0,0.0,0.0
Vancouver,4039_45476,0.0,0.0,0.0
Vancouver,4039_45475,0.0,0.0,0.0
Vancouver,4039_45474,0.0,0.0,0.0
Vancouver,4039_45473,0.0,0.0,0.0
Vancouver,4039_45472,0.0,0.0,0.0
Vancouver,4039_45471,0.0,0.0,0.0
Vancouver,4039_45470,0.0,0.0,0.0
Vancouver,4039_45469,0.0,0.0,0.0
Vancouver,4039_45445,0.0,0.0,0.0
Vancouver,4039_45444,0.0,0.0,0.0
Vancouver,4039_45443,0.0,0.0,0.0
Vancouver,4040_45487,0.0,0.0,0.0
Vancouver,4040_45486,0.0,0.0,0.0
Vancouver,4040_45485,0.0,0.0,0.0
Vancouver,4040_45484,0.0,0.0,0.0
Vancouver,4040_45483,0.0,0.0,0.0
Vancouver,4040_45482,0.0,0.0,0.0
Vancouver,4040_45481,0.0,0.0,0.0
Vancouver,4040_45480,0.0,0.0,0.0
Vancouver,4040_45479,0.0,0.0,0.0
Vancouver,4040_45478,0.0,0.0,0.0
Vancouver,4040_45477,0.0,0.0,0.0
Vancouver,4040_45476,0.0,0.0,0.0
Vancouver,4040_45475,0.0,0.0,0.0
Vancouver,4040_45474,0.0,0.0,0.0
Vancouver,4040_45473,0.0,0.0,0.0
Vancouver,4040_45472,0.0,0.0,0.0
Vancouver,4040_45471,0.0,0.0,0.0
Vancouver,4040_45470,0.0,0.0,0.0
Vancouver,4040_45469,0.0,0.0,0.0
Vancouver,4040_45446,0.0,0.0,0.0
Vancouver,4040_45445,0.0,0.0,0.0
Vancouver,4040_45444,0.0,0.0,0.0
Vancouver,4040_45443,0.0,0.0,0.0
Vancouver,4040_45442,0.0,0.0,0.0
Vancouver,4040_45441,0.0,0.0,0.0
Vancouver,4041_45486,0.0,0.0,0.0
Vancouver,4041_45485,0.0,0.0,0.0
Vancouver,4041_45484,0.0,0.0,0.0
Vancouver,4041_45483,0.0,0.0,0.0
Vancouver,4041_45482,0.0,0.0,0.0
Vancouver,4041_45481,0.0,0.0,0.0
Vancouver,4041_45480,0.0,0.0,0.0
Vancouver,4041_45479,0.0,0.0,0.0
Vancouver,4041_45478,0.0,0.0,0.0
Vancouver,4041_45477,0.0,0.0,0.0
Vancouver,4041_45476,0.0,0.0,0.0
Vancouver,4041_45475,0.0,0.0,0.0
Vancouver,4041_45474,0.0,0.0,0.0
Vancouver,4041_45473,0.0,0.0,0.0
Vancouver,4041_45472,0.0,0.0,0.0
Vancouver,4041_45471,0.0,0.0,0.0
Vancouver,4041_45470,0.0,0.0,0.0
Vancouver,4041_45469,0.0,0.0,0.0
Vancouver,4041_45447,0.0,0.0,0.0
Vancouver,4041_45446,0.0,0.0,0.0
Vancouver,4041_45445,0.0,0.0,0.0
Vancouver,4041_45444,0.0,0.0,0.0
Vancouver,4041_45443,0.0,0.0,0.0
Vancouver,4041_45442,0.0,0.0,0.0
Vancouver,4041_45441,0.0,0.0,0.0
Vancouver,4041_45440,0.0,0.0,0.0
Vancouver,4041_45439,0.0,0.0,0.0
Vancouver,4042_45485,0.0,0.0,0.0
Vancouver,4042_45484,0.0,0.0,0.0
Vancouver,4042_45483,0.0,0.0,0.0
Vancouver,4042_45482,0.0,0.0,0.0
Vancouver,4042_45481,0.0,0.0,0.0
Vancouver,4042_45480,0.0,0.0,0.0
Vancouver,4042_45479,0.0,0.0,0.0
Vancouver,4042_45478,0.0,0.0,0.0
Vancouver,4042_45477,0.0,0.0,0.0
Vancouver,4042_45476,0.0,0.0,0.0
Vancouver,4042_45475,0.0,0.0,0.0
Vancouver,4042_45474,0.0,0.0,0.0
Vancouver,4042_45473,0.0,0.0,0.0
Vancouver,4042_45472,0.0,0.0,0.0
Vancouver,4042_45471,0.0,0.0,0.0
Vancouver,4042_45470,0.0,0.0,0.0
Vancouver,4042_45469,0.0,0.0,0.0
Vancouver,4042_45447,0.0,0.0,0.0
Vancouver,4042_45446,0.0,0.0,0.0
Vancouver,4042_45445,0.0,0.0,0.0
Vancouver,4042_45444,0.0,0.0,0.0
Vancouver,4042_45443,0.0,0.0,0.0
Vancouver,4042_45442,0.0,0.0,0.0
